Name,ID,Team,Position,Cost,OfficialFPLSite,theFPLKiwi,FPLReview,Average
Bamford,227,LEE,FWD,7.5,1.9,4.39,4.44,3.5766666666666667
Kulusevski,446,TOT,MID,8.0,3.2,3.55,3.95,3.5666666666666664
Sancho,340,MUN,MID,7.5,3.0,3.81,3.78,3.53
Sá,478,WOL,GK,5.0,3.6,3.46,3.37,3.4766666666666666
Bruno Guimarães,374,NEW,MID,6.0,2.6,3.84,3.95,3.4633333333333334
Romero,443,TOT,DEF,5.0,2.8,3.78,3.72,3.4333333333333336
Digne,33,AVL,DEF,5.0,2.8,3.87,3.61,3.4266666666666663
Ronaldo,326,MUN,FWD,10.5,4.1,2.4,3.7,3.3999999999999995
Jiménez,476,WOL,FWD,7.0,2.7,3.69,3.7,3.3633333333333333
Coutinho,29,AVL,MID,7.0,2.9,3.43,3.69,3.34
Botman,377,NEW,DEF,4.5,2.3,3.83,3.74,3.29
Toney,80,BRE,FWD,7.0,2.2,3.84,3.8,3.28
Havertz,145,CHE,FWD,8.0,3.1,3.05,3.66,3.27
Bernardo,311,MCI,MID,7.0,3.4,3.65,2.74,3.2633333333333328
Grealish,305,MCI,MID,7.0,3.4,3.11,3.19,3.233333333333333
Zaha,160,CRY,MID,7.0,1.9,3.84,3.94,3.2266666666666666
Thiago Silva,128,CHE,DEF,5.5,3.1,3.09,3.47,3.2199999999999998
Cash,43,AVL,DEF,5.0,2.8,3.55,3.29,3.2133333333333334
Rashford,335,MUN,MID,6.5,2.8,3.36,3.47,3.21
Barnes,264,LEI,MID,7.0,2.4,3.19,3.87,3.1533333333333333
Dier,430,TOT,DEF,5.0,2.8,3.66,2.96,3.1399999999999997
Solanke,66,BOU,FWD,6.0,1.3,3.95,4.14,3.13
Ødegaard,7,ARS,MID,6.5,2.8,3.18,3.39,3.1233333333333335
Fabinho,282,LIV,MID,5.5,3.5,2.63,3.13,3.0866666666666664
Martinelli,19,ARS,MID,6.0,2.6,2.98,3.58,3.0533333333333332
Calvert-Lewin,191,EVE,FWD,8.0,2.1,3.56,3.48,3.046666666666667
Gabriel,16,ARS,DEF,5.0,2.8,3.1,3.21,3.036666666666666
Meslier,238,LEE,GK,4.5,1.7,3.83,3.57,3.033333333333333
Lenglet,513,TOT,DEF,5.0,2.8,2.87,3.41,3.0266666666666664
